-- P17 result
--------------------------------------------
HostNestNum = 20, P_a = 0.1
--------------------------------------------
-- 2019-01-08 13:32 result data
OFV: 9277.0	/ CPU: 2.890 seconds 	/ department sequence: [9, 13, 3, 6, 10, 15, 14, 2, 12, 8, 16, 11, 4, 7, 5, 17, 1]
OFV: 9649.0	/ CPU: 3.424 seconds 	/ department sequence: [9, 13, 17, 5, 6, 10, 8, 16, 11, 4, 2, 14, 12, 15, 7, 3, 1]
OFV: 9254.0	/ CPU: 2.722 seconds 	/ department sequence: [9, 13, 3, 6, 10, 5, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
OFV: 9649.0	/ CPU: 2.823 seconds 	/ department sequence: [9, 13, 17, 5, 6, 10, 8, 16, 11, 4, 2, 14, 12, 15, 7, 3, 1]
OFV: 9649.0	/ CPU: 2.415 seconds 	/ department sequence: [1, 3, 7, 15, 12, 14, 2, 4, 11, 16, 8, 10, 6, 5, 17, 13, 9]
OFV: 9603.0	/ CPU: 2.309 seconds 	/ department sequence: [1, 17, 13, 5, 6, 7, 15, 8, 12, 4, 2, 11, 14, 16, 10, 3, 9]
OFV: 9649.0	/ CPU: 2.867 seconds 	/ department sequence: [9, 13, 17, 5, 6, 10, 8, 16, 11, 4, 2, 14, 12, 15, 7, 3, 1]
OFV: 9254.0	/ CPU: 4.724 seconds 	/ department sequence: [9, 13, 3, 6, 10, 5, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
OFV: 9661.0	/ CPU: 3.143 seconds 	/ department sequence: [1, 3, 10, 15, 8, 12, 14, 2, 11, 16, 4, 7, 6, 5, 17, 13, 9]
OFV: 9254.0	/ CPU: 3.609 seconds 	/ department sequence: [9, 13, 3, 6, 10, 5, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
