-- P17 result
--------------------------------------------
HostNestNum = 17, P_a = 0.1
--------------------------------------------
-- 2019-01-08 13:27 result data
OFV: 9603.0	/ CPU: 3.079 seconds 	/ department sequence: [9, 3, 10, 14, 16, 11, 2, 4, 12, 8, 15, 7, 6, 5, 13, 17, 1]
OFV: 9277.0	/ CPU: 2.391 seconds 	/ department sequence: [9, 13, 3, 6, 10, 15, 14, 2, 12, 8, 16, 11, 4, 7, 5, 17, 1]
OFV: 9277.0	/ CPU: 2.470 seconds 	/ department sequence: [1, 17, 5, 7, 4, 11, 16, 8, 12, 2, 14, 15, 10, 6, 3, 13, 9]
OFV: 9277.0	/ CPU: 3.610 seconds 	/ department sequence: [9, 13, 3, 6, 10, 15, 14, 2, 12, 8, 16, 11, 4, 7, 5, 17, 1]
OFV: 9254.0	/ CPU: 2.294 seconds 	/ department sequence: [9, 13, 3, 6, 10, 5, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
OFV: 9661.0	/ CPU: 2.297 seconds 	/ department sequence: [9, 13, 17, 5, 6, 7, 4, 16, 11, 2, 14, 12, 8, 15, 10, 3, 1]
OFV: 9254.0	/ CPU: 2.450 seconds 	/ department sequence: [9, 13, 3, 6, 10, 5, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
OFV: 9277.0	/ CPU: 2.388 seconds 	/ department sequence: [9, 13, 3, 6, 10, 15, 14, 2, 12, 8, 16, 11, 4, 7, 5, 17, 1]
OFV: 9277.0	/ CPU: 3.474 seconds 	/ department sequence: [9, 13, 3, 6, 10, 15, 14, 2, 12, 8, 16, 11, 4, 7, 5, 17, 1]
OFV: 9277.0	/ CPU: 2.327 seconds 	/ department sequence: [9, 13, 3, 6, 10, 15, 14, 2, 12, 8, 16, 11, 4, 7, 5, 17, 1]
