-- S11 result
--------------------------------------------
HostNestNum = 10, P_a = 0.1
--------------------------------------------
-- 2019-01-08 09:13 result data
OFV: 7041.5	/ CPU: 0.932 seconds 	/ department sequence: [11, 9, 7, 2, 1, 10, 6, 4, 3, 5, 8]
OFV: 6933.5	/ CPU: 0.967 seconds 	/ department sequence: [9, 7, 2, 1, 10, 4, 3, 6, 5, 8, 11]
OFV: 6933.5	/ CPU: 0.992 seconds 	/ department sequence: [11, 8, 5, 6, 3, 4, 10, 1, 2, 7, 9]
OFV: 6933.5	/ CPU: 1.039 seconds 	/ department sequence: [9, 7, 2, 1, 10, 4, 3, 6, 5, 8, 11]
OFV: 6933.5	/ CPU: 0.960 seconds 	/ department sequence: [9, 7, 2, 1, 10, 4, 3, 6, 5, 8, 11]
OFV: 6933.5	/ CPU: 0.920 seconds 	/ department sequence: [11, 8, 5, 6, 3, 4, 10, 1, 2, 7, 9]
OFV: 6933.5	/ CPU: 0.953 seconds 	/ department sequence: [11, 8, 5, 6, 3, 4, 10, 1, 2, 7, 9]
OFV: 6933.5	/ CPU: 1.387 seconds 	/ department sequence: [11, 8, 5, 6, 3, 4, 10, 1, 2, 7, 9]
OFV: 6933.5	/ CPU: 0.941 seconds 	/ department sequence: [11, 8, 5, 6, 3, 4, 10, 1, 2, 7, 9]
OFV: 6933.5	/ CPU: 0.998 seconds 	/ department sequence: [9, 7, 2, 1, 10, 4, 3, 6, 5, 8, 11]
