-- P15 result
--------------------------------------------
HostNestNum = 10, P_a = 0.4
--------------------------------------------
-- 2019-01-08 11:04 result data
OFV: 6559.0	/ CPU: 3.621 seconds 	/ department sequence: [1, 2, 13, 4, 14, 3, 7, 8, 11, 12, 9, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 2.695 seconds 	/ department sequence: [1, 2, 13, 9, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 2.758 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 8, 11, 2, 13, 9, 1]
OFV: 6305.0	/ CPU: 3.658 seconds 	/ department sequence: [1, 2, 13, 9, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 2.777 seconds 	/ department sequence: [1, 9, 13, 2, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 2.727 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 13, 2, 8, 11, 9, 1]
OFV: 6305.0	/ CPU: 5.970 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 8, 11, 2, 13, 9, 1]
OFV: 6305.0	/ CPU: 3.563 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 2.829 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 13, 2, 8, 11, 9, 1]
OFV: 6305.0	/ CPU: 5.178 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
