-- P15 result
--------------------------------------------
HostNestNum = 10, P_a = 0.5
--------------------------------------------
-- 2019-01-08 11:05 result data
OFV: 6559.0	/ CPU: 3.456 seconds 	/ department sequence: [1, 2, 13, 4, 14, 3, 7, 8, 11, 12, 9, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.143 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.219 seconds 	/ department sequence: [1, 2, 13, 9, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6565.0	/ CPU: 3.179 seconds 	/ department sequence: [1, 3, 4, 2, 13, 14, 9, 11, 8, 12, 7, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.587 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 8, 11, 9, 13, 2, 1]
OFV: 6305.0	/ CPU: 3.152 seconds 	/ department sequence: [1, 2, 13, 9, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.165 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.195 seconds 	/ department sequence: [1, 9, 13, 2, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.560 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 3.236 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 8, 11, 9, 13, 2, 1]
