-- P15 result
--------------------------------------------
HostNestNum = 15, P_a = 0.5
--------------------------------------------
-- 2019-01-08 11:08 result data
OFV: 6592.0	/ CPU: 4.579 seconds 	/ department sequence: [10, 15, 6, 5, 3, 9, 12, 8, 11, 14, 4, 7, 13, 2, 1]
OFV: 6305.0	/ CPU: 4.717 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 13, 2, 8, 11, 9, 1]
OFV: 6305.0	/ CPU: 4.475 seconds 	/ department sequence: [1, 2, 13, 9, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 4.400 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 4.501 seconds 	/ department sequence: [1, 9, 13, 2, 11, 8, 7, 12, 14, 4, 3, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 4.356 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 8, 11, 2, 13, 9, 1]
OFV: 6568.0	/ CPU: 4.958 seconds 	/ department sequence: [1, 3, 4, 2, 13, 14, 7, 8, 11, 12, 9, 5, 6, 15, 10]
OFV: 6305.0	/ CPU: 5.279 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 13, 2, 8, 11, 9, 1]
OFV: 6305.0	/ CPU: 4.614 seconds 	/ department sequence: [10, 15, 6, 5, 3, 4, 14, 12, 7, 8, 11, 2, 13, 9, 1]
OFV: 6305.0	/ CPU: 4.497 seconds 	/ department sequence: [1, 9, 11, 8, 2, 13, 7, 12, 14, 4, 3, 5, 6, 15, 10]
